Customer ID,SSN Number,Customer Name,Customer Surname,Email,Address Street,Address State,Address City,Address Country,Address Zipcode,Phone Number,Account Type,Account Balance,Customer Age,Date of Account Opening,Customer Gender,Customer Occupation,Customer Education Level
d0d88a1a-c73c-4a1b-a07e-d8a79215103b,710-93-0490,Ricky,Blankenship,christy09@example.org,91672 Cynthia Hollow Apt. 889,Hawaii,Lopeztown,USA,93072,(506)054-7119x015,Dollar,74931.95,58,2007-10-31,Male,"Conservator, furniture",Bachelor
3a0f1911-59e5-4078-9a6e-cc21a9307a3f,706-55-1886,Lisa,Barber,ujones@example.net,119 Smith Oval,Maryland,Chaneyville,USA,07556,001-828-608-7953,Dollar,47536.96,71,2003-05-17,Female,Interpreter,High School
cf20a5c9-224e-4c2f-afc1-423666b8efea,640-63-9036,Ashley,Wiggins,ugray@example.org,4428 Kaitlyn Islands,Texas,East Ryanton,USA,29725,001-908-103-7771x779,TL,97265.15,29,2017-11-12,Male,Government social research officer,High School
1afdc2f8-f5fb-45dc-83c6-b93eee5f49a5,144-31-6893,Brandy,Garcia,robertbrown@example.org,77584 Autumn Wall,Tennessee,South Juan,USA,22181,001-530-410-2993x720,Euro,54645.01,65,2022-10-30,Female,Arts administrator,Master
d05e360b-fc2a-4b6d-8c05-3e88f65a5024,493-12-3414,Courtney,Foster,qwilson@example.org,745 Anderson Mall,Hawaii,Davistown,USA,59014,+1-800-276-4700x45839,TL,94296.49,75,2015-03-26,Male,Tourism officer,PhD
12d6d40f-c9e9-478a-8c5a-131dcf7370d7,465-41-0628,Edward,Graham,asanchez@example.org,322 Megan Locks Apt. 369,Illinois,Carolynberg,USA,68734,516.903.8083x43194,TL,9788.83,28,2014-04-02,Female,Music tutor,Bachelor
5da87e05-256f-4dd0-af8e-cc2d21774b37,528-03-5248,Melissa,Berry,brittanysmith@example.org,095 Thomas Haven,Alaska,North Dianaside,USA,49247,(328)614-5350x13569,TL,76506.46,46,2014-01-05,Male,Fast food restaurant manager,High School
84319760-b973-4830-a254-5953f68f1086,248-14-4900,Christopher,Gonzales,rgiles@example.net,21677 Ford Crest,Wisconsin,Kyleburgh,USA,58050,761-562-8211,Euro,1755.29,18,2010-11-06,Female,Clinical molecular geneticist,Bachelor
9aba9acd-4a69-4b9b-87d2-8822fc852099,457-28-1097,Michele,Smith,npatel@example.org,87701 Joanna Canyon,Utah,West Jessicaside,USA,01665,183-827-8949x939,Dollar,98121.28,67,2002-07-07,Male,Applications developer,High School
da0ab036-db82-4d76-82f9-f6feffeaf2bf,255-11-6127,Linda,Wheeler,adam37@example.org,32807 Richards Square,Illinois,Danielleview,USA,02034,(142)535-4855x300,Dollar,76493.03,49,2007-03-05,Female,"Nurse, learning disability",Bachelor
c9a8fe70-6ffe-4879-9e99-e070d682375d,733-65-0185,Jamie,Gomez,patrick13@example.net,60492 Roger Square Apt. 344,Alaska,Henryberg,USA,04507,001-781-632-4269x5282,Dollar,92578.46,56,2015-02-25,Female,Facilities manager,PhD
7185b26a-d9e9-4b92-9f29-4642a29ebec5,224-31-8213,Laura,Velazquez,ocooper@example.com,24881 Wendy Turnpike,Alabama,Lake Lisa,USA,62010,001-758-545-6933x74241,TL,93928.53,36,2005-04-15,Male,Health visitor,Master
7bc11aec-13d7-4230-9fdf-604cb1739dd4,588-22-2423,Tonya,Lam,ronaldlewis@example.org,193 Miller Landing Suite 200,Illinois,Wagnerville,USA,51250,965-035-4895,Euro,72418.72,75,2003-12-18,Female,"Journalist, broadcasting",Bachelor
6b20b03b-fbfd-4442-856f-a9bb1ff51c35,410-14-5009,Eric,Vazquez,micheleparker@example.net,91453 Valerie Route,South Carolina,Sarahshire,USA,42134,(018)247-7993x9090,TL,34592.06,28,2017-07-22,Male,Public house manager,Bachelor
45a5616f-a0df-4806-ba3d-4b13c64b7326,531-26-8738,Reginald,Campbell,ghansen@example.org,1594 Justin Mills,South Dakota,Port Douglasmouth,USA,83831,120-308-3592x2496,TL,85505.76,46,2006-03-06,Female,"Surveyor, rural practice",High School
c851873a-48ae-4024-9eb4-54991e9adfed,416-77-3873,Thomas,Miles,lisa94@example.com,01033 Katrina Crescent,Nebraska,South Samantha,USA,59593,438-090-5732,TL,38391.83,22,2018-07-05,Male,Investment analyst,Bachelor
782cfe2e-b0f4-4caf-ad7f-0598fe880010,257-08-3514,Gregory,Doyle,jennifer16@example.org,8938 Amanda Throughway,New Mexico,East Alexanderview,USA,77508,383-261-4979x44304,TL,30517.26,18,2022-09-25,Male,Osteopath,PhD
560548e9-6950-4c1b-a598-ab1ec5265ec8,642-02-7611,Kimberly,Palmer,brianmccarty@example.org,143 Golden Road Suite 774,Minnesota,South Danielle,USA,21413,001-619-315-7632x8818,TL,93711.81,69,2002-03-13,Female,Company secretary,PhD
832bf657-b49a-4f51-b9bd-ccc9e4de8988,116-19-6102,Rachel,Rivers,qhunt@example.net,537 Walker Mall,Minnesota,Port Jillmouth,USA,11386,(442)824-0031x943,TL,49538.87,62,2021-07-21,Female,Telecommunications researcher,Master
6efab29d-2a97-4076-be64-dcb01675a5ba,109-60-8815,Brian,Bryant,timothyflores@example.org,0285 Jamie Hollow Apt. 543,West Virginia,Jaimeport,USA,59793,8960709758,TL,28307.68,70,2010-10-11,Male,Mudlogger,High School
8dadd80b-713d-4915-811e-e63162d23f8b,565-35-5916,Joshua,Francis,christinasmith@example.com,4811 Mccarthy Circles Suite 902,South Carolina,Boydhaven,USA,53189,(681)843-6589x259,Euro,55300.41,72,2006-01-06,Male,"Programmer, applications",PhD
397ae226-f9b0-4097-92c4-8337e31e8233,707-51-6890,Madeline,Reyes,lestrada@example.org,7120 Ryan Mountain,Arizona,North Darrellstad,USA,54896,+1-062-200-0181x21507,Euro,19583.57,79,2019-10-18,Male,Fashion designer,Master
bbc76541-b111-4f4d-9f36-c05ca05ca79b,595-76-1278,Christina,Miller,perezronald@example.com,420 Brown Unions,Rhode Island,Lake Melaniemouth,USA,89646,133.425.4166,TL,95183.17,58,2017-12-25,Female,Professor Emeritus,High School
0041f9af-07cc-4400-b005-853b972f919a,577-70-5481,Caleb,Aguirre,juliehodge@example.net,9472 Anthony Brooks Apt. 609,Missouri,Port Tina,USA,02811,(466)069-5314x890,TL,80871.62,70,2010-01-23,Male,Rural practice surveyor,PhD
990672a0-0abf-43e2-95f6-8f32a56edc87,853-66-5606,Jason,Stone,robertosmith@example.com,0708 Eric Drive Suite 722,Connecticut,North Jasonville,USA,88346,956-013-1458,TL,32361.74,44,2002-05-05,Male,"Editor, film/video",High School
80e170ee-0e49-4bc7-b612-699a1a29ed8b,820-11-9450,Jeffrey,Brown,sean70@example.com,74313 Alexander Junction,Alaska,Port Lorettaland,USA,77610,001-246-803-2261x73103,Euro,61603.85,69,2006-05-03,Female,"Designer, furniture",Bachelor
8c401588-4dd9-4684-8b16-ece9a2607cd5,213-83-6750,Charles,Price,louislong@example.com,4104 Greg Camp,Michigan,East Angela,USA,03365,524-287-3605,Dollar,76832.6,18,2022-08-11,Female,Community pharmacist,Bachelor
13b1f140-c458-4ede-92eb-f77ee8351d39,175-41-9689,Joseph,Lopez,kimberlyhuerta@example.org,5112 Hill Crossroad Apt. 702,Arkansas,Port Virginiahaven,USA,16824,+1-307-966-8471x0947,Euro,98054.91,33,2004-09-05,Male,"Designer, television/film set",PhD
ada4bad0-8f08-49e1-9e3a-d947b9c42de5,208-84-3849,Christopher,Floyd,stonejennifer@example.com,465 Koch Well,Indiana,New Patricia,USA,19324,(404)936-6294,Euro,30512.04,36,2018-02-01,Male,Pharmacologist,PhD
6de4710a-f405-4fa1-81d1-0c1796f32a66,319-36-1912,Joseph,Brady,castanedakevin@example.com,042 Jennifer Knoll Apt. 821,Wyoming,Lake Mirandaburgh,USA,66947,(409)004-4601,TL,95585.98,41,2023-02-28,Male,Ecologist,Master
1f56fb25-928e-4fd0-969f-e4cfc11cf1fc,493-46-3748,John,Warner,melissa42@example.org,697 Kevin Parks Apt. 341,New Mexico,Douglashaven,USA,87312,696.458.3352x2048,Euro,86650.68,40,2006-07-11,Male,Air traffic controller,Master
